px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-5.40897	-4661.51	8.57558	0.187508	65.1716	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	0
-21.4971	-4651.62	15.24	1.14945	21.7226	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
103.621	-4627.92	-44.8355	0.781269	-120.761	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0
184.108	-4843.5	116.671	-1.95308	-40.255	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
-395.577	-4842.84	73.9669	14.6108	-13.4197	6.40137	-13.0799	6.4	-13.05	-2.72678	0	0
-497.371	-4438.66	-78.6935	36.6241	-516.478	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
-106.368	-4486.61	75.5329	-29.2526	-172.164	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0
644.022	-4379.54	50.3505	-12.9046	-57.3928	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
-574.451	-4756.96	289.563	-69.2589	-19.1353	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	0
-490.683	-5239.13	193.037	-23.4056	-6.38275	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
451.525	-5133.41	-383.313	-135.919	-2.13235	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	0
-408.442	-6113.58	1792.45	-45.3456	-4096.72	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
-665.925	-6183.99	-1877.04	165.751	-1365.58	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0
-477.231	-11132.9	2844.64	30.205	-455.197	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
-494.382	-13287.5	-4247.58	1.73083	-151.737	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0
-240.025	-19241.5	5360.28	-1026.2	-50.5838	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
-319.686	-24227.5	-4618.49	-342.911	16367.1	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0
-303.112	-11805	13305	-865.42	-27312.3	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
-313.228	-1689.64	-7514	-789.672	-9104.1	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0
-202.55	-1517.02	-5009.34	-430.291	-3034.71	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
-156.505	-1259.81	-3339.56	-199.02	64524.4	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	0
-21.7165	-1083.33	-2226.38	9307.64	21508.1	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
80.0624	-921.391	-1484.26	3460.73	138241	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	0
83.6187	-794.759	-989.51	-4736.24	46080.5	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0
188.555	-597.088	-659.678	-732.988	277504	4.43713	-11.024	4.45	-11.05	0	1.81614	0
391.106	130463	-439.79	4849.07	92501.4	4.45136	-10.93	4.45	-10.95	0	1.81612	0
375.627	-22307.2	-293.198	3313.3	555122	4.44745	-10.786	4.45	-10.8	0	2.72555	0
269.657	243637	-195.47	-54247.9	185041	4.45788	-10.6457	4.45	-10.65	0	2.72554	0
518.783	-59213.6	-130.318	-14692.4	61680.2	4.46329	-10.5756	4.45	-10.5	0	2.729	0
415.899	475140	-86.8836	-3767.35	-2.07659e+06	4.44057	-10.3382	4.45	-10.35	0	2.72898	0
390.262	-128097	-57.9272	91739.8	-692197	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0
359.866	941621	-38.6229	17887.6	-230732	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0
380.309	-263953	-25.7533	1735.51	-76910.8	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0
505.566	1.87699e+06	-17.1737	-830.503	-8.41424e+06	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0
438.256	-532821	-11.4539	-678910	5.58386e+06	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	0
547.509	-444132	-7.64068	-123875	1.86129e+06	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0
521.832	-370126	-5.09854	-7195.97	1.73976e+07	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0
521.824	-308269	-3.40379	316297	5.79921e+06	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0
582.827	-256802	-2.27352	-1.89505e+06	3.54875e+07	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0
352.062	-213900	-1.52001	-40143.6	1.18292e+07	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0
290.717	-178204	-1.01811	4.39781e+06	7.10519e+07	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	0
205.665	-148390	-0.6835	2.76867e+06	-1.10534e+08	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0
114.713	-123590	-0.459998	7.46886e+06	-1.71062e+08	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0
239.401	-102781	-0.310997	-8.75071e+06	-5.70208e+07	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0
422.377	-85843.1	-0.212094	-3.96234e+06	-1.90069e+07	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	0
166.858	-71440	-0.14616	-1.66926e+06	-6.33564e+06	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0
218.096	-59545.1	-0.102205	3.28818e+07	-2.11188e+06	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	0
250.044	-49576.6	-0.072902	1.09219e+07	-703960	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0
309.819	-41454.1	-0.0533649	7.07366e+07	-234653	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	0
513.79	-34375	-0.0403402	-1.10643e+08	-78217.8	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0
690.645	-28588.6	-0.0316571	-1.711e+08	-26072.6	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	0
888.821	-23787.8	-0.0258684	-5.70339e+07	-8690.87	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0
802.511	-19763.7	-0.0220033	-1.90115e+07	-2896.96	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	0
774.23	-16578.7	-0.0194266	-6.3372e+06	-965.659	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0
883.236	-13752.6	-0.0172832	-2.11242e+06	8.58993e+09	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0
887.661	-11407.4	-0.0158543	1.42527e+08	2.86331e+09	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0
902.612	-9237.36	-0.0153384	1.17381e+09	1.81343e+10	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	0
1106.94	-7741.04	-0.0149944	7.24131e+08	-2.8315e+10	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0
1082.58	-6287.89	-0.0147572	-2.77486e+08	-9.43832e+09	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0
1008.37	-5269.07	-0.0145991	-2.65452e+08	-7.18656e+10	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0
1146.77	-4196.75	-0.0144906	-5.69953e+09	-2.39552e+10	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	0
1198.73	-3291.34	-0.0144183	-1.09285e+10	-1.45424e+11	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0
1378.98	-2700.51	-0.0139429	-1.46568e+10	-4.84747e+10	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	0
1600.5	-2138.11	-0.0136259	-1.42835e+10	-2.91036e+11	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0
1700.24	-1798.04	-0.0138499	-1.01e+10	-9.7012e+10	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0
1484.81	-1318.5	-0.0139993	2.92134e+10	-5.82093e+11	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0
1620.35	-1003.04	-0.0140924	3.34338e+10	-1.94031e+11	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0
1623.88	-709.124	-0.0141546	7.58995e+09	-1.16419e+12	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0
1651.58	-583.632	-0.0137671	-1.68755e+10	7.11449e+11	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	0
1403.86	-492.194	-0.0135087	7.49532e+10	-1.96187e+12	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0
1438.16	-152.995	-0.0137677	-1.09741e+10	1.54507e+12	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	0
1550	83.9608	-0.0139404	2.46609e+10	-3.88302e+12	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0
1419.21	298.128	-0.0140579	-6.29853e+10	3.1037e+12	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	0
-3.06822e+11	-2.33962e+11	2.01488e+12	5.85676e+11	-7.76152e+12	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0
1.37637e+12	3.90751e+11	8.63288e+11	6.56442e+10	-2.58717e+12	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	0
-1.31314e+11	-2.47606e+11	5.85726e+11	-2.13132e+10	-1.84546e+13	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0
-1.31807e+12	3.30527e+09	4.67167e+12	-3.45438e+11	1.14407e+13	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	0
-1.31807e+12	2.75439e+09	-5.68165e+12	9.45993e+10	-3.13708e+13	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0
-1.31807e+12	2.29533e+09	1.38044e+13	-5.43609e+11	2.47274e+13	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	0
-1.31807e+12	1.91277e+09	9.20295e+12	-4.1259e+12	-6.21263e+13	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0
-1.31807e+12	1.59397e+09	-1.14569e+13	1.88513e+12	4.966e+13	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	0
-1.31807e+12	1.32831e+09	2.75464e+13	1.53772e+12	1.65533e+13	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0
-1.31807e+12	1.10693e+09	1.83643e+13	8.16453e+11	5.51778e+12	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	0
-1.31807e+12	9.22442e+08	8.26116e+13	3.73446e+11	-2.79636e+14	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0
-1.31807e+12	7.68701e+08	5.50744e+13	-4.99593e+12	1.88263e+14	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	0
-1.31807e+12	6.40581e+08	1.77454e+14	3.69663e+13	-5.00196e+14	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0
-1.31807e+12	5.33818e+08	1.18303e+14	3.83337e+13	-1.66732e+14	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0
-1.31807e+12	4.44845e+08	3.60343e+14	-6.06485e+13	-5.55773e+13	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0
-1.31807e+12	3.70703e+08	2.40229e+14	4.91335e+13	1.10737e+15	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	0
-1.31807e+12	3.08919e+08	7.23103e+14	3.6683e+13	3.69125e+14	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0
-1.31807e+12	2.57434e+08	-6.43832e+14	1.89918e+13	1.23042e+14	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0
-8.76971e+12	3.98281e+14	1.57691e+15	8.58532e+12	4.10139e+13	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0
3.78564e+14	1.80061e+14	7.49056e+12	3.61313e+12	1.36713e+13	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	0
6.34532e+14	1.19328e+15	-1.70951e+14	1.45484e+12	4.5571e+12	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0
2.89294e+15	-7.42785e+14	-2.07184e+15	5.60915e+11	9.00872e+15	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	0
